iter	RMSE
0	1.22828279
1	1.1993669
2	1.171456613
3	1.146194502
4	1.122465488
5	1.100012487
6	1.079515404
7	1.059327978
8	1.040833932
9	1.023029964
10	1.005528174
11	0.9912988624
12	0.9769767789
13	0.9637162591
14	0.949527966
15	0.9353836385
16	0.9255341638
17	0.9152230022
18	0.9062169546
19	0.8950280874
20	0.8852122748
21	0.8749963493
22	0.8662521406
23	0.8578137747
24	0.8493655991
25	0.8441006411
26	0.8367378999
27	0.8314401518
28	0.8262586616
29	0.8206299324
30	0.8162941754
31	0.8122948317
32	0.8074754052
33	0.8038596097
34	0.7992969735
35	0.7943444452
36	0.7903762376
37	0.7866342633
38	0.7818231899
39	0.7777802688
40	0.7743910273
41	0.7709438636
42	0.7681351996
43	0.765849548
44	0.763530213
45	0.7607583682
46	0.757519204
47	0.7552309742
48	0.7530403808
49	0.7507730392
50	0.7486457984
51	0.7459531821
52	0.7442542588
53	0.7421783161
54	0.7400956402
55	0.7376905625
56	0.7363434512
57	0.7346427402
58	0.7329639975
59	0.7312475432
60	0.7298916025
61	0.727299332
62	0.7260966073
63	0.7247800632
64	0.7231477743
65	0.7219408607
66	0.720585816
67	0.7190735955
68	0.7177138862
69	0.7160513919
70	0.7147709244
71	0.7137379307
72	0.7125975416
73	0.7114924795
74	0.7097971566
75	0.7085323665
76	0.7076197034
77	0.7063221173
78	0.7053435067
79	0.7044638796
80	0.7039799096
81	0.702995392
82	0.7019451394
83	0.7008199886
84	0.6997985428
85	0.6990344712
86	0.6982904656
87	0.6972556638
88	0.695908869
89	0.6945067621
90	0.6936867554
91	0.6929076417
92	0.6920821174
93	0.6910911072
94	0.6898952447
95	0.6888489399
96	0.6881793799
97	0.6875966887
98	0.6868521157
99	0.6860599903
100	0.685344113
101	0.6846840789
102	0.6840737306
103	0.6830890689
104	0.6822252747
105	0.6815068029
106	0.6808794412
107	0.6798366988
108	0.6792582783
109	0.6786256628
110	0.6780568315
111	0.6776199366
112	0.6768978332
113	0.6763873412
114	0.6753708254
115	0.6748838015
116	0.674125919
117	0.6734007243
118	0.6727974921
119	0.6721592592
120	0.6717223192
121	0.671185684
122	0.6706965304
123	0.6703168494
124	0.6696094646
125	0.6691141251
126	0.66831096
127	0.6676649804
128	0.666928622
129	0.6663141018
130	0.6658716713
131	0.6654226472
132	0.6647198627
133	0.6639284898
134	0.6635484595
135	0.662505976
136	0.6619718774
137	0.6613617266
138	0.6608534821
139	0.6600304487
140	0.6594815268
141	0.6587649989
142	0.65823477
143	0.6578958938
144	0.6575164201
145	0.6570408425
146	0.6566054754
147	0.6563025956
148	0.6558303026
149	0.655557235
150	0.6550920957
151	0.6547417337
152	0.6539390567
153	0.6535866288
154	0.6531768669
155	0.651923544
156	0.6515534778
157	0.6511605359
158	0.6505396151
159	0.650298941
160	0.6497446056
161	0.6493004649
162	0.6489429998
163	0.6483656238
164	0.6479747379
165	0.6476866554
166	0.6467980919
167	0.6462612792
168	0.6457503411
169	0.6452294219
170	0.6443800328
171	0.6436633077
172	0.6434051049
173	0.6428771898
174	0.6423471859
175	0.6418099748
176	0.641362403
177	0.640747201
178	0.6403774267
179	0.6398731916
180	0.6394701997
181	0.6391130928
182	0.6385915477
183	0.6384937464
184	0.638150606
185	0.6376475987
186	0.6368793507
187	0.63626496
188	0.6358399261
189	0.6352371565
190	0.6348812364
191	0.6340801437
192	0.6333748576
193	0.6330065276
194	0.6325155943
195	0.631826717
196	0.6313359387
197	0.6309859928
198	0.6303238813
199	0.6300859579
200	0.6296329459
201	0.629106287
202	0.6286975329
203	0.6282132551
204	0.6275802594
205	0.6270239013
206	0.6265358979
207	0.6261877512
208	0.6254527824
209	0.625379293
210	0.6248626619
211	0.6243873922
212	0.6237391026
213	0.6236679791
214	0.6229624524
215	0.6224457463
216	0.6219427026
217	0.6216958527
218	0.6212211818
219	0.6207519072
220	0.6206858146
221	0.6202195491
222	0.6201537449
223	0.6197174895
224	0.6194631203
225	0.6188066036
226	0.6180414506
227	0.6176327467
228	0.6172789616
229	0.6167893105
230	0.6164712237
231	0.6160660798
232	0.6155082102
233	0.6149344433
234	0.6143800684
235	0.6137314613
236	0.6132668781
237	0.6130026339
238	0.6123087413
239	0.6118395168
240	0.6115865716
241	0.6112511424
242	0.6106907829
243	0.6105759242
244	0.6101850353
245	0.6097683294
246	0.6095625554
247	0.6092933899
248	0.6085166202
249	0.6081985178
250	0.6078293441
251	0.6074169285
252	0.6067548908
253	0.6063145573
254	0.6057431854
255	0.6054312159
256	0.6053687037
257	0.604871892
258	0.6043599022
259	0.6038232047
260	0.6034882734
261	0.6030458006
262	0.6026269634
263	0.6022124327
264	0.6021549676
265	0.6017261882
266	0.6010879655
267	0.600842953
268	0.6003593149
269	0.5997174527
270	0.5992779275
271	0.5987294538
272	0.598455857
273	0.5979504756
274	0.5973413518
275	0.596756871
276	0.596379446
277	0.5960170706
278	0.5951769025
279	0.5949604347
280	0.5947112179
281	0.5944452471
282	0.5940108278
283	0.5938543324
284	0.5933085128
285	0.592810257
286	0.5919709724
287	0.5915496336
288	0.5911688553
289	0.5908468548
290	0.5906142292
291	0.590020387
292	0.5898357245
293	0.5892794732
294	0.5889067647
295	0.5884866749
296	0.587904425
297	0.5876309056
298	0.5875731094
299	0.5871205971
300	0.5866808605
301	0.5861807381
302	0.5858902577
303	0.5854552312
304	0.5848910584
305	0.5845786026
306	0.5842767486
307	0.5839113943
308	0.5838646134
309	0.5835103559
310	0.5831517814
311	0.5827869684
312	0.5823979529
313	0.5823502709
314	0.5821195032
315	0.5817263006
316	0.5812639369
317	0.5807968877
318	0.5805105559
319	0.5801252539
320	0.5798689441
321	0.579577148
322	0.579360185
323	0.578913589
324	0.578866428
325	0.5785037396
326	0.578248576
327	0.5780344054
328	0.5777810502
329	0.5775057946
330	0.577287591
331	0.5769328153
332	0.5764947792
333	0.5762100061
334	0.5760069307
335	0.5757538008
336	0.5755492068
337	0.575112534
338	0.5745931127
339	0.5741515914
340	0.5739331974
341	0.5737000405
342	0.5736584866
343	0.5733420784
344	0.5730799764
345	0.5727344058
346	0.5723042343
347	0.5721008817
348	0.5715102891
349	0.5712411702
350	0.5708437566
351	0.5706567175
352	0.5706188736
353	0.5702294263
354	0.5700355251
355	0.5696592012
356	0.5693787355
357	0.5692027762
358	0.5690195005
359	0.5686287368
360	0.5683948425
361	0.5680889513
362	0.5679066554
363	0.5676825241
364	0.5671270619
365	0.5667654684
366	0.566583008
367	0.5662059873
368	0.565778581
369	0.5653627723
370	0.5651411468
371	0.5648047551
372	0.5643855846
373	0.5640066419
374	0.5635845892
375	0.5632740325
376	0.5629628516
377	0.5625292726
378	0.5624828543
379	0.5623026821
380	0.5618326764
381	0.5616267464
382	0.561452962
383	0.5611730159
384	0.5607555259
385	0.5604528913
386	0.5601564583
387	0.5599610066
388	0.5591444144
389	0.5588841855
390	0.5587039858
391	0.5584410764
392	0.5580171783
393	0.5578355014
394	0.5577923452
395	0.5574891623
396	0.5569736823
397	0.5567738437
398	0.5565640715
399	0.5561537013
400	0.5555163388
401	0.5552986948
402	0.554851713
403	0.5546047862
404	0.5541684378
405	0.554134995
406	0.5536624799
407	0.5533063351
408	0.5532743926
409	0.5528436158
410	0.5523437144
411	0.5519067181
412	0.5516901824
413	0.5513325334
414	0.5510984828
415	0.5509503175
416	0.5506114436
417	0.5502108225
418	0.5499623891
419	0.5497247448
420	0.5493573224
421	0.5491288887
422	0.5488579487
423	0.5485425672
424	0.5480939462
425	0.547676988
426	0.5473272573
427	0.5470377336
428	0.5466098088
429	0.5462056028
430	0.5460560544
431	0.545746141
432	0.5455401757
433	0.5453212878
434	0.5447569409
